District,Crop_Year,District_Mean_Yield_t_ha,Talukas_With_Data,Source,Yield_Unit
Nashik,2009-2010,72.7,12,"Crop Estimation surveys, Maharashtra",t/ha (Crop Estimation taluka average)
Nashik,2010-2011,77.35000000000001,12,"Crop Estimation surveys, Maharashtra",t/ha (Crop Estimation taluka average)
Nashik,2011-2012,74.28333333333333,12,"Crop Estimation surveys, Maharashtra",t/ha (Crop Estimation taluka average)
Nashik,2012-2013,75.74166666666666,12,"Crop Estimation surveys, Maharashtra",t/ha (Crop Estimation taluka average)
Nashik,2013-2014,77.94166666666668,12,"Crop Estimation surveys, Maharashtra",t/ha (Crop Estimation taluka average)
Nashik,2014-2015,78.44545454545454,11,"Crop Estimation surveys, Maharashtra",t/ha (Crop Estimation taluka average)
Nashik,2015-2016,75.93636363636364,11,"Crop Estimation surveys, Maharashtra",t/ha (Crop Estimation taluka average)
Nashik,2016-2017,85.28999999999999,10,"Crop Estimation surveys, Maharashtra",t/ha (Crop Estimation taluka average)
Nashik,2017-2018,84.88000000000001,10,"Crop Estimation surveys, Maharashtra",t/ha (Crop Estimation taluka average)
Nashik,2018-2019,94.40777777777777,9,"Crop Estimation surveys, Maharashtra",t/ha (Crop Estimation taluka average)
Nashik,2019-2020,82.51428571428572,7,"Crop Estimation surveys, Maharashtra",t/ha (Crop Estimation taluka average)
Nashik,2020-2021,102.78,10,"Crop Estimation surveys, Maharashtra",t/ha (Crop Estimation taluka average)
Nashik,2021-2022,92.38,10,"Crop Estimation surveys, Maharashtra",t/ha (Crop Estimation taluka average)
Nashik,2022-2023,91.31,10,"Crop Estimation surveys, Maharashtra",t/ha (Crop Estimation taluka average)
Nashik,2023-2024,88.78999999999999,10,"Crop Estimation surveys, Maharashtra",t/ha (Crop Estimation taluka average)
Solapur,2009-2010,90.69090909090907,11,"Crop Estimation surveys, Maharashtra",t/ha (Crop Estimation taluka average)
Solapur,2010-2011,96.44545454545454,11,"Crop Estimation surveys, Maharashtra",t/ha (Crop Estimation taluka average)
Solapur,2011-2012,91.96363636363635,11,"Crop Estimation surveys, Maharashtra",t/ha (Crop Estimation taluka average)
Solapur,2012-2013,69.73636363636363,11,"Crop Estimation surveys, Maharashtra",t/ha (Crop Estimation taluka average)
Solapur,2013-2014,84.99090909090908,11,"Crop Estimation surveys, Maharashtra",t/ha (Crop Estimation taluka average)
Solapur,2014-2015,92.04545454545453,11,"Crop Estimation surveys, Maharashtra",t/ha (Crop Estimation taluka average)
Solapur,2015-2016,61.22727272727273,11,"Crop Estimation surveys, Maharashtra",t/ha (Crop Estimation taluka average)
Solapur,2016-2017,66.7909090909091,11,"Crop Estimation surveys, Maharashtra",t/ha (Crop Estimation taluka average)
Solapur,2017-2018,99.92727272727274,11,"Crop Estimation surveys, Maharashtra",t/ha (Crop Estimation taluka average)
Solapur,2018-2019,73.39090909090909,11,"Crop Estimation surveys, Maharashtra",t/ha (Crop Estimation taluka average)
Solapur,2019-2020,93.21000000000001,10,"Crop Estimation surveys, Maharashtra",t/ha (Crop Estimation taluka average)
Solapur,2020-2021,105.22999999999999,10,"Crop Estimation surveys, Maharashtra",t/ha (Crop Estimation taluka average)
Solapur,2021-2022,97.97,10,"Crop Estimation surveys, Maharashtra",t/ha (Crop Estimation taluka average)
Solapur,2022-2023,88.41999999999999,10,"Crop Estimation surveys, Maharashtra",t/ha (Crop Estimation taluka average)
Solapur,2023-2024,90.72,10,"Crop Estimation surveys, Maharashtra",t/ha (Crop Estimation taluka average)
