District,Year,Time_Index,Observed,Trend,Seasonal,Residual
Nashik,2009-2010,1,72.7,70.48302220493684,2.216977803188215,-8.125056183416746e-09
Nashik,2010-2011,2,77.35000000000001,72.65235237080675,4.697647631450809,-2.2575505909117055e-09
Nashik,2011-2012,3,74.28333333333333,74.82168253598745,-0.5383492056976396,3.043524543500098e-09
Nashik,2012-2013,4,75.74166666666666,76.99101270048483,-1.249346041601183,7.783015121276549e-09
Nashik,2013-2014,5,77.94166666666668,79.16034286441058,-1.2186762097966795,1.2052780107296712e-08
Nashik,2014-2015,6,78.44545454545454,81.32967302790153,-3.722530139823357,0.8383116573763658
Nashik,2015-2016,7,75.93636363636364,83.49900318663168,6.565996844303645,-14.128636394571686
Nashik,2016-2017,8,85.28999999999999,85.66833334060107,-0.3783333526538344,1.2052765896441997e-08
Nashik,2017-2018,9,84.88000000000001,87.8376634941356,-2.9576635019186246,7.783043542985979e-09
Nashik,2018-2019,10,94.40777777777777,90.00699364709855,4.400784127635696,3.043524543500098e-09
Nashik,2019-2020,11,82.51428571428572,92.17632379937818,-9.66203808283493,-2.2575363800569903e-09
Nashik,2020-2021,12,102.78,94.34565395096854,8.434346057156482,-8.125027761707315e-09
Solapur,2009-2010,1,90.69090909090907,86.83667272001199,3.854236374310012,-3.412921500967059e-09
Solapur,2010-2011,2,96.44545454545454,86.79947272301102,9.64598182339181,-9.482903351454297e-10
Solapur,2011-2012,3,91.96363636363635,86.76227272572058,5.201363636637322,1.2784511227437179e-09
Solapur,2012-2013,4,69.73636363636363,86.7250727281431,-16.98870909504873,3.2692639706510818e-09
Solapur,2013-2014,5,84.99090909090908,86.68787273032554,-1.6969636444792302,5.062773311692581e-09
Solapur,2014-2015,6,92.04545454545452,86.6506727323253,5.299781826123621,0.09499998700559331
Solapur,2015-2016,7,61.22727272727273,86.61347273232532,14.224254553396351,-39.61045455844894
Solapur,2016-2017,8,66.7909090909091,86.57627273032553,-19.7853636444792,5.062773311692581e-09
Solapur,2017-2018,9,99.92727272727274,86.53907272814314,13.38819999586035,3.2692497597963666e-09
Solapur,2018-2019,10,73.39090909090909,86.50187272572062,-13.110963636089942,1.2784227010342875e-09
Solapur,2019-2020,11,93.21,86.46467272301108,6.7453272779372275,-9.48304546000145e-10
Solapur,2020-2021,12,105.23,86.42747272001208,18.802527283400888,-3.4129641335312044e-09
