District,Year,Year_Start,Yield_tonnes_per_hectare,Yield_Change_Pct,Yield_MA5,Period,Time_Index
Nashik,2009-2010,2009,72.7,,74.77777777777779,Period 2 (2006-2013),1
Nashik,2010-2011,2010,77.35000000000001,6.396148555708403,75.01875,Period 2 (2006-2013),2
Nashik,2011-2012,2011,74.28333333333333,-3.964662788192208,75.60333333333332,Period 2 (2006-2013),3
Nashik,2012-2013,2012,75.74166666666666,1.9632039488445052,76.75242424242424,Period 2 (2006-2013),4
Nashik,2013-2014,2013,77.94166666666668,2.904609968093319,76.46969696969697,Period 2 (2006-2013),5
Nashik,2014-2015,2014,78.44545454545454,0.6463652887260141,78.6710303030303,Period 3 (2013-2020),6
Nashik,2015-2016,2015,75.93636363636364,-3.198516629968695,80.49869696969697,Period 3 (2013-2020),7
Nashik,2016-2017,2016,85.28999999999999,12.317730156829864,83.79191919191918,Period 3 (2013-2020),8
Nashik,2017-2018,2017,84.88000000000001,-0.4807128620002099,84.60568542568542,Period 3 (2013-2020),9
Nashik,2018-2019,2018,94.40777777777777,11.224997381924773,89.97441269841269,Period 3 (2013-2020),10
Nashik,2019-2020,2019,82.51428571428572,-12.598000232022832,91.3924126984127,Period 3 (2013-2020),11
Nashik,2020-2021,2020,102.78,24.56024930747922,92.6784126984127,Period 3 (2013-2020),12
Nashik,2021-2022,2021,92.38,-10.118700136213278,91.55485714285714,Other,13
Nashik,2022-2023,2022,91.31,-1.1582593634985816,93.815,Other,14
Nashik,2023-2024,2023,88.78999999999999,-2.7598291534333685,90.82666666666667,Other,15
