Year,Time_Index,Observed,Trend,Seasonal,Residual
1999-2000,1,89.53,67.09756447875512,23.09135745254427,-0.658921931299389
2000-2001,2,76.96,67.65854988007472,8.059245564785442,1.2422045551398355
2001-2002,3,69.16,68.24036969223981,1.0314089199218779,-0.11177861216168594
2002-2003,4,66.86,68.84967158170724,-2.034414212104025,0.044742630396783056
2003-2004,5,47.65,69.48106548449162,-21.34515685479197,-0.4859086296996509
2004-2005,6,58.93,70.08998491883314,13.451489752415855,-24.611474671248992
2005-2006,7,77.66,71.11515071476413,9.18726967783313,-2.642420392597259
2006-2007,8,65.64,72.59243229424109,-6.598575463713693,-0.35385683052740546
2007-2008,9,78.26,74.38045259477428,4.450502870719353,-0.5709554654936255
2008-2009,10,71.8,76.67933606862263,-11.76237456811219,6.883038499489558
2009-2010,11,83.85,79.12426898464533,3.598619987502446,1.127111027852223
2010-2011,12,91.4,81.6935041787188,10.764048458604192,-1.0575526373229849
2011-2012,13,91.73,84.27042416228092,-14.137475588555635,21.597051426274717
2012-2013,14,71.3,85.8932616837564,11.12849973534981,-25.721761419106215
2013-2014,15,87.04,86.85807548830674,-2.814451447023802,2.996375958717067
2014-2015,16,96.4,88.77666985093066,-7.303762127104885,14.927092276174236
2015-2016,17,58.78,90.0748606783818,13.938834265443553,-45.23369494382535
2016-2017,18,68.58,90.06689978328194,-21.635119303887016,0.1482195206050676
2017-2018,19,108.32,90.17900106063222,17.93920527380003,0.2017936655677488
2018-2019,20,95.0,90.34237832159279,5.56236720257312,-0.9047455241659037
2019-2020,21,71.95,90.51878261555618,-18.342339081441676,-0.22644353411449458
2020-2021,22,108.61,90.70884805978802,17.295633850907258,0.6055180893047094
