Year,Area_hectares,Production_tonnes,Yield_tonnes_per_hectare
1999-2000,66600,5962900,89.53
2000-2001,67100,5163900,76.96
2001-2002,52000,3596300,69.16
2002-2003,49400,3303000,66.86
2003-2004,31200,1486800,47.65
2004-2005,17000,1001800,58.93
2005-2006,56600,4395300,77.66
2006-2007,93500,6137800,65.64
2007-2008,133300,10432000,78.26
2008-2009,77500,5564800,71.8
2009-2010,75600,6339000,83.85
2010-2011,126000,11516400,91.4
2011-2012,129500,11879200,91.73
2012-2013,115500,8235700,71.3
2013-2014,110800,9643600,87.04
2014-2015,122000,11761000,96.4
2015-2016,112400,6607100,58.78
2016-2017,60972,4181400,68.58
2017-2018,104404,11308900,108.32
2018-2019,134486,12776170,95
2019-2020,70931,5103317,71.95
2020-2021,109977,11945130.44,108.61

