District,Variable,N,Mean,Median,SD,Min,Max,CV_Pct,IQR
Ahmednagar,Area (ha),22,87125.90909090909,85500.0,33973.29346695336,17000.0,134486.0,38.99333025208939,52346.0
Ahmednagar,Production (tonnes),22,7197341.701818182,6238400.0,3570641.318064463,1001800.0,12776170.0,49.610557147265254,6517370.75
Ahmednagar,Yield (t/ha),22,78.88227272727272,77.31,15.525363099784988,47.65,108.61,19.68168837308012,22.20750000000001
Solapur,Area (ha),22,117411.5,112400.0,54177.492379425676,36400.0,215000.0,46.143258862569404,95717.0
Solapur,Production (tonnes),22,10013613.966363637,9943500.0,5256614.747109872,2632800.0,22608354.26,52.494681388429534,6508350.0
Solapur,Yield (t/ha),22,83.55772727272728,84.92,12.977883260594535,58.26,105.16,15.531637448964503,18.722499999999997
Nashik,Area (ha),22,22201.636363636364,22150.0,9086.523835506245,11216.0,50200.0,40.92727079517836,10364.25
Nashik,Production (tonnes),22,1730420.6,1719750.0,756260.3943554674,672900.0,4306300.0,43.7038483219321,747225.0
Nashik,Yield (t/ha),22,78.16909090909091,79.24000000000001,13.280544522342348,51.01,113.03,16.98950872767262,13.344999999999999
Bellary,Area (ha),21,4975.285714285715,5327.0,2329.7551504878124,1363.0,10096.0,46.82656000635911,3701.0
Bellary,Production (tonnes),21,435070.90476190473,384609.0,200050.82264881374,121762.0,803871.0,45.981199951371785,278279.0
Bellary,Yield (t/ha),21,89.46190476190476,89.3,15.537243311000037,57.0,129.2,17.36744075855649,17.099999999999994
Dharwad,Area (ha),21,4653.238095238095,3722.0,2453.6003847555457,872.0,8653.0,52.72888114765597,4288.0
Dharwad,Production (tonnes),21,321378.5238095238,254075.0,181792.87485372677,61302.0,658398.0,56.56659091553755,271740.0
Dharwad,Yield (t/ha),21,68.83952380952381,68.4,12.694837899597307,32.3,92.15,18.44120528015768,11.399999999999991
