District,Category,Crop_Year,Year_Start,Yield,Area,Production
Ahmednagar,Top 3,2020 - 2021,2020,108.61,109977,11945130.44
Ahmednagar,Top 3,2017 - 2018,2017,108.32,104404,11308900.0
Ahmednagar,Top 3,2014 - 2015,2014,96.4,122000,11761000.0
Ahmednagar,Bottom 3,2004 - 2005,2004,58.93,17000,1001800.0
Ahmednagar,Bottom 3,2015 - 2016,2015,58.78,112400,6607100.0
Ahmednagar,Bottom 3,2003 - 2004,2003,47.65,31200,1486800.0
Solapur,Top 3,2020 - 2021,2020,105.16,215000,22608354.26
Solapur,Top 3,2017 - 2018,2017,104.16,100505,10468150.0
Solapur,Top 3,2010 - 2011,2010,98.1,163100,16000100.0
Solapur,Bottom 3,2012 - 2013,2012,67.38,144200,9716600.0
Solapur,Bottom 3,2015 - 2016,2015,59.88,183100,10964400.0
Solapur,Bottom 3,2003 - 2004,2003,58.26,48600,2831500.0
Nashik,Top 3,2020 - 2021,2020,113.03,14366,1623785.2
Nashik,Top 3,2018 - 2019,2018,95.23,15345,1461304.0
Nashik,Top 3,2000 - 2001,2000,91.02,25100,2284500.0
Nashik,Bottom 3,2003 - 2004,2003,56.83,20400,1159400.0
Nashik,Bottom 3,2004 - 2005,2004,55.61,12100,672900.0
Nashik,Bottom 3,2005 - 2006,2005,51.01,14300,729500.0
Bellary,Top 3,2008 - 2009,2008,129.2,1932,249614.0
Bellary,Top 3,2000 - 2001,2000,109.25,7174,783760.0
Bellary,Top 3,2015 - 2016,2015,102.6,7835,803871.0
Bellary,Bottom 3,2002 - 2003,2002,72.2,5327,384609.0
Bellary,Bottom 3,2003 - 2004,2003,66.5,1831,121762.0
Bellary,Bottom 3,2018 - 2019,2018,57.0,10096,575472.0
Dharwad,Top 3,1999 - 2000,1999,92.15,3906,359938.0
Dharwad,Top 3,2000 - 2001,2000,90.25,3522,317860.0
Dharwad,Top 3,2005 - 2006,2005,88.35,1247,110172.0
Dharwad,Bottom 3,2011 - 2012,2011,59.85,3465,207380.0
Dharwad,Bottom 3,2010 - 2011,2010,56.05,4533,254075.0
Dharwad,Bottom 3,2003 - 2004,2003,32.3,3039,98160.0
