Crop_Year,Ahmednagar_Yield_t_ha,Nashik_Yield_t_ha,Solapur_Yield_t_ha
2009-2010,83.85,72.7,90.69090909090907
2010-2011,91.4,77.35000000000001,96.44545454545454
2011-2012,91.73,74.28333333333333,91.96363636363635
2012-2013,71.3,75.74166666666666,69.73636363636363
2013-2014,87.04,77.94166666666668,84.99090909090908
2014-2015,96.4,78.44545454545454,92.04545454545452
2015-2016,58.78,75.93636363636364,61.22727272727273
2016-2017,68.58,85.28999999999999,66.7909090909091
2017-2018,108.32,84.88000000000001,99.92727272727274
2018-2019,95.0,94.40777777777777,73.39090909090909
2019-2020,71.95,82.51428571428572,93.21
2020-2021,108.61,102.78,105.23
