District,Variable,Linear_Slope,R2,Linear_P,MK_Z,MK_P,Sens_Slope
Ahmednagar,Area (ha),3091.227555053642,0.33323647780747934,0.004907671304179921,2.1430426635832474,0.03210967274372978,3157.1428571428573
Ahmednagar,Production (tonnes),339515.0492603049,0.3639079063913573,0.0029576343434876274,2.81979297839901,0.004805464085408495,361470.5882352941
Ahmednagar,Yield (t/ha),1.122591756070017,0.21043891298382536,0.031762768778364044,2.1430426635832474,0.03210967274372978,1.3885714285714295
Solapur,Area (ha),5470.517786561265,0.41037883485434495,0.001318593346719379,2.87618883796699,0.0040250882949259825,5961.538461538462
Solapur,Production (tonnes),509509.57451157534,0.3781449331198577,0.002321958510403535,2.368626101855168,0.017854292789382997,459350.0
Solapur,Yield (t/ha),0.4721005081874647,0.05326318027709716,0.30144502736242706,1.184313050927584,0.23628916450237414,0.6178571428571432
Nashik,Area (ha),-546.1490683229814,0.1454094857885262,0.07993989090423015,-2.284032312503198,0.022369632000609485,-592.8571428571429
Nashik,Production (tonnes),-28003.62891022021,0.055188907751982076,0.29262215583281886,-1.8046675061753663,0.07112672748994053,-36541.48
Nashik,Yield (t/ha),1.0754037267080747,0.2639229730070559,0.01446028872347093,2.312230242287188,0.02076499853542102,1.2766666666666662
Bellary,Area (ha),79.42597402597404,0.042616322296164924,0.3692855630084997,0.8757107404342224,0.3811873049877583,86.33333333333333
Bellary,Production (tonnes),1821.7272727272723,0.003040587231536441,0.8123485753341324,0.815316896266345,0.41489093965848545,9068.45
Bellary,Yield (t/ha),-0.5151948051948053,0.04031497988833052,0.3828201914849161,-0.9663015066860384,0.3338933323575459,-0.5148601398601402
Dharwad,Area (ha),298.2233766233766,0.5416854054976961,0.0001428567182647999,2.747919909638422,0.005997465713712069,263.7647058823529
Dharwad,Production (tonnes),20047.988311688307,0.44592242810520694,0.0009402089908897889,2.32516300046328,0.0200632459497887,19820.083333333336
Dharwad,Yield (t/ha),-0.2338051948051949,0.012437280340662403,0.6303226694911498,-0.0905907662518161,0.927817769226368,-0.12558441558441594
