District,Variable,CV_Pct,Volatility_Index,Stability_Pct,Autocorrelation
Ahmednagar,Area (ha),38.99333025208939,61.563030358214725,4.545454545454546,0.5522238469723584
Ahmednagar,Production (tonnes),49.610557147265254,91.83300858745828,4.545454545454546,0.4403241842857827
Ahmednagar,Yield (t/ha),19.68168837308012,24.90496370278545,31.818181818181817,0.21658344710744223
Solapur,Area (ha),46.143258862569404,51.5348919841534,13.636363636363635,0.4408045955880101
Solapur,Production (tonnes),52.494681388429534,61.60694391062034,27.27272727272727,0.42657019755158804
Solapur,Yield (t/ha),15.531637448964503,20.22960969134282,36.36363636363637,0.12039889514998439
Nashik,Area (ha),40.92727079517836,32.764666291446005,22.727272727272727,0.6940237641058812
Nashik,Production (tonnes),43.7038483219321,50.77542516045731,27.27272727272727,0.525853793983897
Nashik,Yield (t/ha),16.98950872767262,15.834836127004218,59.09090909090909,0.5579519659747244
Bellary,Area (ha),46.82656000635911,65.84386173774418,4.761904761904762,0.47709248969117235
Bellary,Production (tonnes),45.981199951371785,65.4090243142289,4.761904761904762,0.5442808904875176
Bellary,Yield (t/ha),17.36744075855649,28.37893090911118,52.38095238095239,0.0064693609537591805
Dharwad,Area (ha),52.72888114765597,105.47097632134765,9.523809523809524,0.7505397933601333
Dharwad,Production (tonnes),56.56659091553755,88.28931550191778,9.523809523809524,0.7674005820748764
Dharwad,Yield (t/ha),18.44120528015768,42.141308599641555,52.38095238095239,0.024539554735961054
